path_uid,from_node,to_node,path_id,rank_by_total,algorithm,path_geometry,grid_cell_sequence,trajectory_sample_count,distance,travel_time,turn_count,turn_cost,risk_cost,dynamic_cost,total_cost,planning_status,start_cell,goal_cell
IN1__SORT2__path_1,IN1,SORT2,path_1,1,avg,"0.00,1.00;3.23,2.92;5.03,3.82;10.36,4.05",,24,11.105,11.105,2,0.247,0.0,0.0,11.352,ok,,
IN1__OUT1__path_1,IN1,OUT1,path_1,1,avg,"0.00,1.00;3.23,0.53;4.32,0.53;6.57,0.58;8.62,0.73;12.00,2.00",,26,12.271,12.271,4,0.252,0.0,0.0,12.523,ok,,
IN1__OUT2__path_1,IN1,OUT2,path_1,1,avg,"0.00,1.00;3.23,2.92;5.03,3.82;12.00,4.00",,27,12.742,12.742,2,0.255,0.0,0.0,12.998,ok,,
IN1__CHG1__path_1,IN1,CHG1,path_1,1,avg,"0.00,1.00;1.00,0.00",,4,1.414,1.414,0,0.0,0.0,0.0,1.414,ok,,
IN1__CHG2__path_1,IN1,CHG2,path_1,1,avg,"0.00,1.00;3.23,0.53;9.00,0.00",,20,9.058,9.058,1,0.026,0.0,0.0,9.085,ok,,
IN2__IN1__path_1,IN2,IN1,path_1,1,avg,"0.00,5.00;0.00,1.00",,9,4.0,4.0,0,0.0,0.0,0.0,4.0,ok,,
IN2__P1__path_1,IN2,P1,path_1,1,avg,"0.00,5.00;3.12,0.95",,12,5.112,5.112,0,0.0,0.0,0.0,5.112,ok,,
IN2__P2__path_1,IN2,P2,path_1,1,avg,"0.00,5.00;4.32,2.92;4.36,2.35",,12,5.366,5.366,1,0.526,0.0,0.0,5.892,ok,,
IN2__P3__path_1,IN2,P3,path_1,1,avg,"0.00,5.00;3.72,5.25",,9,3.728,3.728,0,0.0,0.0,0.0,3.728,ok,,
IN2__P4__path_1,IN2,P4,path_1,1,avg,"0.00,5.00;4.32,2.92;5.05,1.35",,15,6.526,6.526,1,0.343,0.0,0.0,6.87,ok,,
IN2__P5__path_1,IN2,P5,path_1,1,avg,"0.00,5.00;5.62,4.10",,13,5.692,5.692,0,0.0,0.0,0.0,5.692,ok,,
IN2__P6__path_1,IN2,P6,path_1,1,avg,"0.00,5.00;3.83,5.92;5.32,5.92;7.98,5.55",,18,8.115,8.115,2,0.187,0.0,0.0,8.302,ok,,
IN2__P7__path_1,IN2,P7,path_1,1,avg,"0.00,5.00;5.03,2.93;6.57,2.57;7.38,1.00",,19,8.787,8.787,2,0.513,0.0,0.0,9.3,ok,,
IN2__P8__path_1,IN2,P8,path_1,1,avg,"0.00,5.00;7.72,3.62;8.62,3.02;8.72,2.35",,21,9.601,9.601,2,0.623,0.0,0.0,10.224,ok,,
IN2__P9__path_1,IN2,P9,path_1,1,avg,"0.00,5.00;3.83,4.43;5.32,4.43;6.20,5.05",,14,6.439,6.439,2,0.381,0.0,0.0,6.819,ok,,
IN2__SORT1__path_1,IN2,SORT1,path_1,1,avg,"0.00,5.00;7.72,3.62;8.62,3.02;9.72,2.16",,22,10.32,10.32,2,0.243,0.0,0.0,10.564,ok,,
IN2__SORT2__path_1,IN2,SORT2,path_1,1,avg,"0.00,5.00;3.83,4.43;10.36,4.05",,22,10.413,10.413,1,0.045,0.0,0.0,10.458,ok,,
IN2__OUT1__path_1,IN2,OUT1,path_1,1,avg,"0.00,5.00;7.72,3.62;12.00,2.00",,26,12.419,12.419,1,0.092,0.0,0.0,12.511,ok,,
IN2__OUT2__path_1,IN2,OUT2,path_1,1,avg,"0.00,5.00;3.83,4.43;12.00,4.00",,26,12.053,12.053,1,0.048,0.0,0.0,12.101,ok,,
IN2__CHG1__path_1,IN2,CHG1,path_1,1,avg,"0.00,5.00;1.00,0.00",,12,5.099,5.099,0,0.0,0.0,0.0,5.099,ok,,
IN2__CHG2__path_1,IN2,CHG2,path_1,1,avg,"0.00,5.00;5.03,2.93;6.57,2.57;7.53,0.73;9.00,0.00",,23,10.737,10.737,3,0.825,0.0,0.0,11.562,ok,,
P1__IN1__path_1,P1,IN1,path_1,1,avg,"3.12,0.95;0.00,1.00",,8,3.12,3.12,0,0.0,0.0,0.0,3.12,ok,,
P1__IN2__path_1,P1,IN2,path_1,1,avg,"3.12,0.95;0.00,5.00",,12,5.112,5.112,0,0.0,0.0,0.0,5.112,ok,,
P1__P2__path_1,P1,P2,path_1,1,avg,"3.12,0.95;3.23,0.53;4.32,0.53;4.36,2.35",,8,3.345,3.345,2,1.432,0.0,0.0,4.776,ok,,
P1__P3__path_1,P1,P3,path_1,1,avg,"3.12,0.95;3.23,2.92;3.72,5.25",,10,4.354,4.354,1,0.076,0.0,0.0,4.43,ok,,
P1__P4__path_1,P1,P4,path_1,1,avg,"3.12,0.95;3.23,0.53;4.32,0.53;5.05,1.35",,7,2.622,2.622,2,1.079,0.0,0.0,3.701,ok,,
P1__P5__path_1,P1,P5,path_1,1,avg,"3.12,0.95;3.23,2.92;5.03,3.82;5.62,4.10",,11,4.639,4.639,2,0.536,0.0,0.0,5.175,ok,,
P1__P6__path_1,P1,P6,path_1,1,avg,"3.12,0.95;3.23,2.92;5.32,4.43;6.33,5.52;7.98,5.55",,17,7.688,7.688,3,0.946,0.0,0.0,8.634,ok,,
P1__P7__path_1,P1,P7,path_1,1,avg,"3.12,0.95;3.23,0.53;4.32,0.53;6.57,0.58;7.38,1.00",,11,4.687,4.687,3,0.896,0.0,0.0,5.584,ok,,
P1__P8__path_1,P1,P8,path_1,1,avg,"3.12,0.95;3.23,0.53;4.32,0.53;6.57,0.58;8.62,0.73;8.72,2.35",,16,7.453,7.453,4,1.412,0.0,0.0,8.865,ok,,
P1__P9__path_1,P1,P9,path_1,1,avg,"3.12,0.95;3.23,2.92;6.20,5.05",,13,5.628,5.628,1,0.446,0.0,0.0,6.074,ok,,
P1__SORT1__path_1,P1,SORT1,path_1,1,avg,"3.12,0.95;3.23,0.53;4.32,0.53;6.57,0.58;8.62,0.73;9.72,2.16",,17,7.634,7.634,4,1.115,0.0,0.0,8.749,ok,,
P1__SORT2__path_1,P1,SORT2,path_1,1,avg,"3.12,0.95;3.23,2.92;5.03,3.82;10.36,4.05",,20,9.32,9.32,2,0.736,0.0,0.0,10.056,ok,,
P1__OUT1__path_1,P1,OUT1,path_1,1,avg,"3.12,0.95;3.23,0.53;4.32,0.53;6.57,0.58;8.62,0.73;12.00,2.00",,20,9.441,9.441,4,0.837,0.0,0.0,10.278,ok,,
P1__OUT2__path_1,P1,OUT2,path_1,1,avg,"3.12,0.95;3.23,0.53;4.32,0.53;6.57,0.58;8.62,0.73;12.00,4.00",,23,10.533,10.533,4,1.042,0.0,0.0,11.575,ok,,
P1__CHG1__path_1,P1,CHG1,path_1,1,avg,"3.12,0.95;1.00,0.00",,6,2.323,2.323,0,0.0,0.0,0.0,2.323,ok,,
P1__CHG2__path_1,P1,CHG2,path_1,1,avg,"3.12,0.95;3.23,0.53;9.00,0.00",,14,6.228,6.228,1,0.612,0.0,0.0,6.84,ok,,
P2__IN1__path_1,P2,IN1,path_1,1,avg,"4.36,2.35;4.32,2.92;3.23,2.92;0.00,1.00",,12,5.419,5.419,2,1.019,0.0,0.0,6.437,ok,,
P2__IN2__path_1,P2,IN2,path_1,1,avg,"4.36,2.35;4.32,2.92;0.00,5.00",,12,5.366,5.366,1,0.526,0.0,0.0,5.892,ok,,
P2__P1__path_1,P2,P1,path_1,1,avg,"4.36,2.35;4.32,0.53;3.23,0.53;3.12,0.95",,8,3.345,3.345,2,1.432,0.0,0.0,4.776,ok,,
P2__P3__path_1,P2,P3,path_1,1,avg,"4.36,2.35;4.32,2.92;3.83,4.43;3.72,5.25",,7,2.986,2.986,2,0.212,0.0,0.0,3.198,ok,,
P2__P4__path_1,P2,P4,path_1,1,avg,"4.36,2.35;5.05,1.35",,4,1.215,1.215,0,0.0,0.0,0.0,1.215,ok,,
P2__P5__path_1,P2,P5,path_1,1,avg,"4.36,2.35;5.03,3.82;5.62,4.10",,6,2.269,2.269,1,0.35,0.0,0.0,2.619,ok,,
P2__P6__path_1,P2,P6,path_1,1,avg,"4.36,2.35;5.03,3.82;6.33,5.52;7.98,5.55",,12,5.406,5.406,2,0.562,0.0,0.0,5.968,ok,,
P2__P7__path_1,P2,P7,path_1,1,avg,"4.36,2.35;5.23,2.57;6.57,2.57;7.38,1.00",,10,4.004,4.004,2,0.671,0.0,0.0,4.675,ok,,
P2__P8__path_1,P2,P8,path_1,1,avg,"4.36,2.35;5.03,3.82;6.32,3.82;7.72,3.62;8.62,3.02;8.72,2.35",,14,6.079,6.079,4,1.283,0.0,0.0,7.362,ok,,
P2__P9__path_1,P2,P9,path_1,1,avg,"4.36,2.35;5.03,3.82;6.20,5.05",,8,3.313,3.313,1,0.166,0.0,0.0,3.479,ok,,
P2__SORT1__path_1,P2,SORT1,path_1,1,avg,"4.36,2.35;5.03,3.82;6.32,3.82;7.72,3.62;8.62,3.02;9.72,2.16",,15,6.798,6.798,4,0.903,0.0,0.0,7.701,ok,,
P2__SORT2__path_1,P2,SORT2,path_1,1,avg,"4.36,2.35;5.03,3.82;10.36,4.05",,15,6.95,6.95,1,0.55,0.0,0.0,7.5,ok,,
P2__OUT1__path_1,P2,OUT1,path_1,1,avg,"4.36,2.35;5.03,3.82;6.32,3.82;7.72,3.62;12.00,2.00",,19,8.896,8.896,3,0.752,0.0,0.0,9.649,ok,,
P2__OUT2__path_1,P2,OUT2,path_1,1,avg,"4.36,2.35;5.03,3.82;12.00,4.00",,19,8.588,8.588,1,0.559,0.0,0.0,9.146,ok,,
P2__CHG1__path_1,P2,CHG1,path_1,1,avg,"4.36,2.35;4.32,0.53;1.00,0.00",,12,5.182,5.182,1,0.695,0.0,0.0,5.878,ok,,
P2__CHG2__path_1,P2,CHG2,path_1,1,avg,"4.36,2.35;5.23,0.58;9.00,0.00",,13,5.787,5.787,1,0.481,0.0,0.0,6.267,ok,,
P3__IN1__path_1,P3,IN1,path_1,1,avg,"3.72,5.25;0.00,1.00",,13,5.648,5.648,0,0.0,0.0,0.0,5.648,ok,,
P3__IN2__path_1,P3,IN2,path_1,1,avg,"3.72,5.25;0.00,5.00",,9,3.728,3.728,0,0.0,0.0,0.0,3.728,ok,,
P3__P1__path_1,P3,P1,path_1,1,avg,"3.72,5.25;3.23,2.92;3.12,0.95",,10,4.354,4.354,1,0.076,0.0,0.0,4.43,ok,,
P3__P2__path_1,P3,P2,path_1,1,avg,"3.72,5.25;3.83,4.43;4.32,2.92;4.36,2.35",,7,2.986,2.986,2,0.212,0.0,0.0,3.198,ok,,
P3__P4__path_1,P3,P4,path_1,1,avg,"3.72,5.25;3.83,4.43;5.05,1.35",,10,4.14,4.14,1,0.122,0.0,0.0,4.262,ok,,
P3__P5__path_1,P3,P5,path_1,1,avg,"3.72,5.25;3.83,4.43;5.62,4.10",,7,2.648,2.648,1,0.628,0.0,0.0,3.275,ok,,
P3__P6__path_1,P3,P6,path_1,1,avg,"3.72,5.25;3.83,5.92;5.32,5.92;7.98,5.55",,11,4.855,4.855,2,0.773,0.0,0.0,5.628,ok,,
P3__P7__path_1,P3,P7,path_1,1,avg,"3.72,5.25;3.83,4.43;5.03,2.93;6.57,2.57;7.38,1.00",,14,6.096,6.096,3,1.036,0.0,0.0,7.133,ok,,
P3__P8__path_1,P3,P8,path_1,1,avg,"3.72,5.25;3.83,4.43;7.72,3.62;8.62,3.02;8.72,2.35",,15,6.56,6.56,3,1.225,0.0,0.0,7.785,ok,,
P3__P9__path_1,P3,P9,path_1,1,avg,"3.72,5.25;3.83,4.43;5.32,4.43;6.20,5.05",,8,3.394,3.394,2,1.026,0.0,0.0,4.419,ok,,
P3__SORT1__path_1,P3,SORT1,path_1,1,avg,"3.72,5.25;3.83,4.43;7.72,3.62;8.62,3.02;9.72,2.16",,16,7.279,7.279,3,0.845,0.0,0.0,8.124,ok,,
P3__SORT2__path_1,P3,SORT2,path_1,1,avg,"3.72,5.25;3.83,4.43;10.36,4.05",,16,7.368,7.368,1,0.69,0.0,0.0,8.058,ok,,
P3__OUT1__path_1,P3,OUT1,path_1,1,avg,"3.72,5.25;3.83,4.43;7.72,3.62;12.00,2.00",,20,9.377,9.377,2,0.694,0.0,0.0,10.071,ok,,
P3__OUT2__path_1,P3,OUT2,path_1,1,avg,"3.72,5.25;3.83,4.43;12.00,4.00",,20,9.009,9.009,1,0.692,0.0,0.0,9.701,ok,,
P3__CHG1__path_1,P3,CHG1,path_1,1,avg,"3.72,5.25;1.00,0.00",,13,5.913,5.913,0,0.0,0.0,0.0,5.913,ok,,
P3__CHG2__path_1,P3,CHG2,path_1,1,avg,"3.72,5.25;3.83,4.43;5.23,0.58;9.00,0.00",,19,8.738,8.738,2,0.642,0.0,0.0,9.381,ok,,
P4__IN1__path_1,P4,IN1,path_1,1,avg,"5.05,1.35;4.32,0.53;3.23,0.53;0.00,1.00",,12,5.452,5.452,2,0.494,0.0,0.0,5.946,ok,,
P4__IN2__path_1,P4,IN2,path_1,1,avg,"5.05,1.35;4.32,2.92;0.00,5.00",,15,6.526,6.526,1,0.343,0.0,0.0,6.87,ok,,
P4__P1__path_1,P4,P1,path_1,1,avg,"5.05,1.35;4.32,0.53;3.23,0.53;3.12,0.95",,7,2.622,2.622,2,1.079,0.0,0.0,3.701,ok,,
P4__P2__path_1,P4,P2,path_1,1,avg,"5.05,1.35;4.36,2.35",,4,1.215,1.215,0,0.0,0.0,0.0,1.215,ok,,
P4__P3__path_1,P4,P3,path_1,1,avg,"5.05,1.35;3.83,4.43;3.72,5.25",,10,4.14,4.14,1,0.122,0.0,0.0,4.262,ok,,
P4__P5__path_1,P4,P5,path_1,1,avg,"5.05,1.35;5.03,2.93;5.03,3.82;5.62,4.10",,8,3.123,3.123,2,0.57,0.0,0.0,3.693,ok,,
P4__P6__path_1,P4,P6,path_1,1,avg,"5.05,1.35;5.03,2.93;5.03,3.82;6.33,5.52;7.98,5.55",,14,6.26,6.26,3,0.783,0.0,0.0,7.043,ok,,
P4__P7__path_1,P4,P7,path_1,1,avg,"5.05,1.35;5.23,0.58;6.57,0.58;7.38,1.00",,8,3.043,3.043,2,0.91,0.0,0.0,3.953,ok,,
P4__P8__path_1,P4,P8,path_1,1,avg,"5.05,1.35;5.23,0.58;6.57,0.58;8.62,0.73;8.72,2.35",,13,5.809,5.809,3,1.425,0.0,0.0,7.234,ok,,
P4__P9__path_1,P4,P9,path_1,1,avg,"5.05,1.35;5.03,2.93;5.03,3.82;6.20,5.05",,10,4.168,4.168,2,0.387,0.0,0.0,4.554,ok,,
P4__SORT1__path_1,P4,SORT1,path_1,1,avg,"5.05,1.35;5.23,0.58;6.57,0.58;8.62,0.73;9.72,2.16",,13,5.99,5.99,3,1.128,0.0,0.0,7.119,ok,,
P4__SORT2__path_1,P4,SORT2,path_1,1,avg,"5.05,1.35;5.03,2.93;5.03,3.82;10.36,4.05",,17,7.805,7.805,2,0.77,0.0,0.0,8.575,ok,,
P4__OUT1__path_1,P4,OUT1,path_1,1,avg,"5.05,1.35;5.23,0.58;6.57,0.58;8.62,0.73;12.00,2.00",,17,7.797,7.797,3,0.85,0.0,0.0,8.647,ok,,
P4__OUT2__path_1,P4,OUT2,path_1,1,avg,"5.05,1.35;5.23,0.58;6.57,0.58;8.62,0.73;12.00,4.00",,19,8.889,8.889,3,1.055,0.0,0.0,9.944,ok,,
P4__CHG1__path_1,P4,CHG1,path_1,1,avg,"5.05,1.35;4.32,0.53;1.00,0.00",,10,4.46,4.46,1,0.343,0.0,0.0,4.802,ok,,
P4__CHG2__path_1,P4,CHG2,path_1,1,avg,"5.05,1.35;5.23,0.58;9.00,0.00",,11,4.605,4.605,1,0.594,0.0,0.0,5.199,ok,,
P5__IN1__path_1,P5,IN1,path_1,1,avg,"5.62,4.10;5.03,3.82;3.23,2.92;0.00,1.00",,14,6.423,6.423,2,0.047,0.0,0.0,6.47,ok,,
P5__IN2__path_1,P5,IN2,path_1,1,avg,"5.62,4.10;0.00,5.00",,13,5.692,5.692,0,0.0,0.0,0.0,5.692,ok,,
P5__P1__path_1,P5,P1,path_1,1,avg,"5.62,4.10;5.03,3.82;3.23,2.92;3.12,0.95",,11,4.639,4.639,2,0.536,0.0,0.0,5.175,ok,,
P5__P2__path_1,P5,P2,path_1,1,avg,"5.62,4.10;5.03,3.82;4.36,2.35",,6,2.269,2.269,1,0.35,0.0,0.0,2.619,ok,,
P5__P3__path_1,P5,P3,path_1,1,avg,"5.62,4.10;3.83,4.43;3.72,5.25",,7,2.648,2.648,1,0.628,0.0,0.0,3.275,ok,,
P5__P4__path_1,P5,P4,path_1,1,avg,"5.62,4.10;5.03,3.82;5.03,2.93;5.05,1.35",,8,3.123,3.123,2,0.57,0.0,0.0,3.693,ok,,
P5__P6__path_1,P5,P6,path_1,1,avg,"5.62,4.10;6.33,5.52;7.98,5.55",,8,3.238,3.238,1,0.544,0.0,0.0,3.782,ok,,
P5__P7__path_1,P5,P7,path_1,1,avg,"5.62,4.10;6.32,3.82;6.43,2.83;6.57,2.57;7.38,1.00",,9,3.812,3.812,3,0.74,0.0,0.0,4.552,ok,,
P5__P8__path_1,P5,P8,path_1,1,avg,"5.62,4.10;7.72,3.62;8.62,3.02;8.72,2.35",,9,3.913,3.913,2,0.599,0.0,0.0,4.512,ok,,
P5__P9__path_1,P5,P9,path_1,1,avg,"5.62,4.10;6.20,5.05",,4,1.113,1.113,0,0.0,0.0,0.0,1.113,ok,,
P5__SORT1__path_1,P5,SORT1,path_1,1,avg,"5.62,4.10;7.72,3.62;8.62,3.02;9.72,2.16",,11,4.632,4.632,2,0.219,0.0,0.0,4.852,ok,,
P5__SORT2__path_1,P5,SORT2,path_1,1,avg,"5.62,4.10;10.36,4.05",,11,4.74,4.74,0,0.0,0.0,0.0,4.74,ok,,
P5__OUT1__path_1,P5,OUT1,path_1,1,avg,"5.62,4.10;7.72,3.62;12.00,2.00",,15,6.73,6.73,1,0.069,0.0,0.0,6.799,ok,,
P5__OUT2__path_1,P5,OUT2,path_1,1,avg,"5.62,4.10;12.00,4.00",,14,6.381,6.381,0,0.0,0.0,0.0,6.381,ok,,
P5__CHG1__path_1,P5,CHG1,path_1,1,avg,"5.62,4.10;5.03,3.82;3.23,2.92;1.00,0.00",,14,6.34,6.34,2,0.238,0.0,0.0,6.577,ok,,
P5__CHG2__path_1,P5,CHG2,path_1,1,avg,"5.62,4.10;6.32,3.82;6.43,2.83;6.57,2.57;7.53,0.73;9.00,0.00",,13,5.762,5.762,4,1.052,0.0,0.0,6.814,ok,,
P6__IN1__path_1,P6,IN1,path_1,1,avg,"7.98,5.55;6.33,5.52;5.32,4.43;0.00,1.00",,20,9.466,9.466,2,0.528,0.0,0.0,9.994,ok,,
P6__IN2__path_1,P6,IN2,path_1,1,avg,"7.98,5.55;5.32,5.92;3.83,5.92;0.00,5.00",,18,8.115,8.115,2,0.187,0.0,0.0,8.302,ok,,
P6__P1__path_1,P6,P1,path_1,1,avg,"7.98,5.55;6.33,5.52;5.32,4.43;3.23,2.92;3.12,0.95",,17,7.688,7.688,3,0.946,0.0,0.0,8.634,ok,,
P6__P2__path_1,P6,P2,path_1,1,avg,"7.98,5.55;6.33,5.52;5.03,3.82;4.36,2.35",,12,5.406,5.406,2,0.562,0.0,0.0,5.968,ok,,
P6__P3__path_1,P6,P3,path_1,1,avg,"7.98,5.55;5.32,5.92;3.83,5.92;3.72,5.25",,11,4.855,4.855,2,0.773,0.0,0.0,5.628,ok,,
P6__P4__path_1,P6,P4,path_1,1,avg,"7.98,5.55;6.33,5.52;5.03,3.82;5.03,2.93;5.05,1.35",,14,6.26,6.26,3,0.783,0.0,0.0,7.043,ok,,
P6__P5__path_1,P6,P5,path_1,1,avg,"7.98,5.55;6.33,5.52;5.62,4.10",,8,3.238,3.238,1,0.544,0.0,0.0,3.782,ok,,
P6__P7__path_1,P6,P7,path_1,1,avg,"7.98,5.55;6.33,5.52;6.33,4.33;6.43,2.83;6.57,2.57;7.38,1.00",,14,6.406,6.406,4,1.032,0.0,0.0,7.438,ok,,
P6__P8__path_1,P6,P8,path_1,1,avg,"7.98,5.55;8.02,5.52;8.62,3.02;8.72,2.35",,8,3.298,3.298,2,0.39,0.0,0.0,3.688,ok,,
P6__P9__path_1,P6,P9,path_1,1,avg,"7.98,5.55;6.33,5.52;6.20,5.05",,6,2.138,2.138,1,0.641,0.0,0.0,2.779,ok,,
P6__SORT1__path_1,P6,SORT1,path_1,1,avg,"7.98,5.55;8.02,5.52;9.72,2.16",,9,3.816,3.816,1,0.229,0.0,0.0,4.045,ok,,
P6__SORT2__path_1,P6,SORT2,path_1,1,avg,"7.98,5.55;10.36,4.05",,7,2.813,2.813,0,0.0,0.0,0.0,2.813,ok,,
P6__OUT1__path_1,P6,OUT1,path_1,1,avg,"7.98,5.55;8.02,5.52;12.00,2.00",,12,5.363,5.363,1,0.04,0.0,0.0,5.404,ok,,
P6__OUT2__path_1,P6,OUT2,path_1,1,avg,"7.98,5.55;12.00,4.00",,10,4.308,4.308,0,0.0,0.0,0.0,4.308,ok,,
P6__CHG1__path_1,P6,CHG1,path_1,1,avg,"7.98,5.55;6.33,5.52;5.32,4.43;3.23,2.92;1.00,0.00",,20,9.389,9.389,3,0.648,0.0,0.0,10.037,ok,,
P6__CHG2__path_1,P6,CHG2,path_1,1,avg,"7.98,5.55;8.02,5.52;8.62,3.02;9.00,0.00",,13,5.665,5.665,2,0.401,0.0,0.0,6.066,ok,,
P7__IN1__path_1,P7,IN1,path_1,1,avg,"7.38,1.00;6.57,0.58;4.32,0.53;3.23,0.53;0.00,1.00",,17,7.517,7.517,3,0.311,0.0,0.0,7.828,ok,,
P7__IN2__path_1,P7,IN2,path_1,1,avg,"7.38,1.00;6.57,2.57;5.03,2.93;0.00,5.00",,19,8.787,8.787,2,0.513,0.0,0.0,9.3,ok,,
P7__P1__path_1,P7,P1,path_1,1,avg,"7.38,1.00;6.57,0.58;4.32,0.53;3.23,0.53;3.12,0.95",,11,4.687,4.687,3,0.896,0.0,0.0,5.584,ok,,
P7__P2__path_1,P7,P2,path_1,1,avg,"7.38,1.00;6.57,2.57;5.23,2.57;4.36,2.35",,10,4.004,4.004,2,0.671,0.0,0.0,4.675,ok,,
P7__P3__path_1,P7,P3,path_1,1,avg,"7.38,1.00;6.57,2.57;5.03,2.93;3.83,4.43;3.72,5.25",,14,6.096,6.096,3,1.036,0.0,0.0,7.133,ok,,
P7__P4__path_1,P7,P4,path_1,1,avg,"7.38,1.00;6.57,0.58;5.23,0.58;5.05,1.35",,8,3.043,3.043,2,0.91,0.0,0.0,3.953,ok,,
P7__P5__path_1,P7,P5,path_1,1,avg,"7.38,1.00;6.57,2.57;6.43,2.83;6.32,3.82;5.62,4.10",,9,3.812,3.812,3,0.74,0.0,0.0,4.552,ok,,
P7__P6__path_1,P7,P6,path_1,1,avg,"7.38,1.00;6.57,2.57;6.43,2.83;6.33,4.33;6.33,5.52;7.98,5.55",,14,6.406,6.406,4,1.032,0.0,0.0,7.438,ok,,
P7__P8__path_1,P7,P8,path_1,1,avg,"7.38,1.00;7.53,0.73;8.62,0.73;8.72,2.35",,8,3.022,3.022,2,1.286,0.0,0.0,4.308,ok,,
P7__P9__path_1,P7,P9,path_1,1,avg,"7.38,1.00;6.57,2.57;6.43,2.83;6.20,5.05",,10,4.294,4.294,2,0.204,0.0,0.0,4.498,ok,,
P7__SORT1__path_1,P7,SORT1,path_1,1,avg,"7.38,1.00;7.53,0.73;8.62,0.73;9.72,2.16",,8,3.203,3.203,2,0.989,0.0,0.0,4.192,ok,,
P7__SORT2__path_1,P7,SORT2,path_1,1,avg,"7.38,1.00;7.53,0.73;8.62,0.73;10.36,4.05",,12,5.147,5.147,2,1.076,0.0,0.0,6.223,ok,,
P7__OUT1__path_1,P7,OUT1,path_1,1,avg,"7.38,1.00;7.53,0.73;8.62,0.73;12.00,2.00",,12,5.01,5.01,2,0.712,0.0,0.0,5.721,ok,,
P7__OUT2__path_1,P7,OUT2,path_1,1,avg,"7.38,1.00;7.53,0.73;8.62,0.73;12.00,4.00",,14,6.102,6.102,2,0.916,0.0,0.0,7.018,ok,,
P7__CHG1__path_1,P7,CHG1,path_1,1,avg,"7.38,1.00;6.57,0.58;1.00,0.00",,15,6.513,6.513,1,0.187,0.0,0.0,6.7,ok,,
P7__CHG2__path_1,P7,CHG2,path_1,1,avg,"7.38,1.00;7.53,0.73;9.00,0.00",,5,1.95,1.95,1,0.301,0.0,0.0,2.252,ok,,
P8__IN1__path_1,P8,IN1,path_1,1,avg,"8.72,2.35;8.62,0.73;6.57,0.58;4.32,0.53;3.23,0.53;0.00,1.00",,22,10.283,10.283,4,0.827,0.0,0.0,11.11,ok,,
P8__IN2__path_1,P8,IN2,path_1,1,avg,"8.72,2.35;8.62,3.02;7.72,3.62;0.00,5.00",,21,9.601,9.601,2,0.623,0.0,0.0,10.224,ok,,
P8__P1__path_1,P8,P1,path_1,1,avg,"8.72,2.35;8.62,0.73;6.57,0.58;4.32,0.53;3.23,0.53;3.12,0.95",,16,7.453,7.453,4,1.412,0.0,0.0,8.865,ok,,
P8__P2__path_1,P8,P2,path_1,1,avg,"8.72,2.35;8.62,3.02;7.72,3.62;6.32,3.82;5.03,3.82;4.36,2.35",,14,6.079,6.079,4,1.283,0.0,0.0,7.362,ok,,
